budget,method_a,method_b,avg_layer_jaccard
256,l2_key_prefill_only,random,0.13466490477588675
256,l2_key_prefill_only,recency,0.2413851339140521
256,l2_key_prefill_only,sink_recent,0.2533578005653938
256,l2_key_prefill_only,snapkv,0.3222617350858921
256,l2_leverage,attention,0.5365914294170455
256,l2_leverage,attention_l1,0.6606463359052396
256,l2_leverage,attention_l2,0.7186195914971557
256,l2_leverage,compactor,0.22919558516241498
256,l2_leverage,l1_leverage,0.6569718743782064
256,l2_leverage,l1_prefill_only,0.5443990584721277
256,l2_leverage,l2_key_prefill_only,0.5246581973101684
256,l2_leverage,l2_leverage,1.0
256,l2_leverage,l2_prefill_only,0.60844868408469
256,l2_leverage,pyramidkv,0.3685493768690132
256,l2_leverage,random,0.2100653083864065
256,l2_leverage,recency,0.3792457901018252
256,l2_leverage,sink_recent,0.39429706126850556
256,l2_leverage,snapkv,0.37750729069835653
256,l2_prefill_only,attention,0.3958522959528229
256,l2_prefill_only,attention_l1,0.5642360385079974
256,l2_prefill_only,attention_l2,0.5675904443455817
256,l2_prefill_only,compactor,0.174764209217842
256,l2_prefill_only,l1_leverage,0.5929457491243353
256,l2_prefill_only,l1_prefill_only,0.7893480279440123
256,l2_prefill_only,l2_key_prefill_only,0.7279090423943393
256,l2_prefill_only,l2_leverage,0.60844868408469
256,l2_prefill_only,l2_prefill_only,1.0
256,l2_prefill_only,pyramidkv,0.31801027638500806
256,l2_prefill_only,random,0.13450486312297522
256,l2_prefill_only,recency,0.23322736432065458
256,l2_prefill_only,sink_recent,0.24517555627832321
256,l2_prefill_only,snapkv,0.3236286549608925
256,pyramidkv,attention,0.4946664890230822
256,pyramidkv,attention_l1,0.4271863255793556
256,pyramidkv,attention_l2,0.4231803378105602
256,pyramidkv,compactor,0.23836677888057117
256,pyramidkv,l1_leverage,0.38740896643742645
256,pyramidkv,l1_prefill_only,0.29542265080949887
256,pyramidkv,l2_key_prefill_only,0.3120390256779205
256,pyramidkv,l2_leverage,0.3685493768690132
256,pyramidkv,l2_prefill_only,0.31801027638500806
256,pyramidkv,pyramidkv,1.0
256,pyramidkv,random,0.16131836020768608
256,pyramidkv,recency,0.45438924588039736
256,pyramidkv,sink_recent,0.458747411579966
256,pyramidkv,snapkv,0.7297302357483039
256,random,attention,0.25056265042297
256,random,attention_l1,0.24677293123059915
256,random,attention_l2,0.23609433972064034
256,random,compactor,0.12470916181708647
256,random,l1_leverage,0.23454442542889906
256,random,l1_prefill_only,0.1347794462015236
256,random,l2_key_prefill_only,0.13466490477588675
256,random,l2_leverage,0.2100653083864065
256,random,l2_prefill_only,0.13450486312297522
256,random,pyramidkv,0.16131836020768608
256,random,random,1.0
256,random,recency,0.2515457820613671
256,random,sink_recent,0.2517043929792111
256,random,snapkv,0.1542047477287009
256,recency,attention,0.6218614990724649
256,recency,attention_l1,0.4569390624726587
256,recency,attention_l2,0.46318606390608463
256,recency,compactor,0.2512012416581999
256,recency,l1_leverage,0.40053894220966846
256,recency,l1_prefill_only,0.2249354852170902
256,recency,l2_key_prefill_only,0.2413851339140521
256,recency,l2_leverage,0.3792457901018252
256,recency,l2_prefill_only,0.23322736432065458
256,recency,pyramidkv,0.45438924588039736
256,recency,random,0.2515457820613671
256,recency,recency,1.0
256,recency,sink_recent,0.9692307692307632
256,recency,snapkv,0.456513540801822
256,sink_recent,attention,0.6407860332792974
256,sink_recent,attention_l1,0.473682723957397
256,sink_recent,attention_l2,0.480096496007704
256,sink_recent,compactor,0.2572454315792019
256,sink_recent,l1_leverage,0.4160216251112169
256,sink_recent,l1_prefill_only,0.23671957717900208
256,sink_recent,l2_key_prefill_only,0.2533578005653938
256,sink_recent,l2_leverage,0.39429706126850556
256,sink_recent,l2_prefill_only,0.24517555627832321
256,sink_recent,pyramidkv,0.458747411579966
256,sink_recent,random,0.2517043929792111
256,sink_recent,recency,0.9692307692307632
256,sink_recent,sink_recent,1.0
256,sink_recent,snapkv,0.4571752270001446
256,snapkv,attention,0.4742484569098497
256,snapkv,attention_l1,0.4170884174249873
256,snapkv,attention_l2,0.4186688288827037
256,snapkv,compactor,0.24094557843944148
256,snapkv,l1_leverage,0.3847481246323088
256,snapkv,l1_prefill_only,0.3008503190957437
256,snapkv,l2_key_prefill_only,0.3222617350858921
256,snapkv,l2_leverage,0.37750729069835653
256,snapkv,l2_prefill_only,0.3236286549608925
256,snapkv,pyramidkv,0.7297302357483039
256,snapkv,random,0.1542047477287009
256,snapkv,recency,0.456513540801822
256,snapkv,sink_recent,0.4571752270001446
256,snapkv,snapkv,1.0
512,attention,attention,1.0
512,attention,attention_l1,0.5848311930661553
512,attention,attention_l2,0.6113628894726907
512,attention,compactor,0.23094519950161876
512,attention,l1_leverage,0.3976231867539372
512,attention,l1_prefill_only,0.30706551354446043
512,attention,l2_key_prefill_only,0.34423547747989297
512,attention,l2_leverage,0.4475883986602861
512,attention,l2_prefill_only,0.3226961643389575
512,attention,pyramidkv,0.41692967772976697
512,attention,random,0.1374857928458808
512,attention,recency,0.4091183705375437
512,attention,sink_recent,0.41661579245347036
512,attention,snapkv,0.4167156581108722
512,attention_l1,attention,0.5848311930661553
512,attention_l1,attention_l1,1.0
512,attention_l1,attention_l2,0.8096476044957959
512,attention_l1,compactor,0.21425490754083124
512,attention_l1,l1_leverage,0.6826640400961187
512,attention_l1,l1_prefill_only,0.5422287173388208
512,attention_l1,l2_key_prefill_only,0.48555155381810794
512,attention_l1,l2_leverage,0.6457817291706328
512,attention_l1,l2_prefill_only,0.5344549697068922
512,attention_l1,pyramidkv,0.35548041640928285
512,attention_l1,random,0.13781505022397797
512,attention_l1,recency,0.3029699736530032
512,attention_l1,sink_recent,0.3095164478310729
512,attention_l1,snapkv,0.3390253638146899
512,attention_l2,attention,0.6113628894726907
512,attention_l2,attention_l1,0.8096476044957959
512,attention_l2,attention_l2,1.0
512,attention_l2,compactor,0.21085628213112798
512,attention_l2,l1_leverage,0.5965744710003985
512,attention_l2,l1_prefill_only,0.4801208640223767
512,attention_l2,l2_key_prefill_only,0.49224676263426465
512,attention_l2,l2_leverage,0.687846297889582
512,attention_l2,l2_prefill_only,0.5283010691250244
512,attention_l2,pyramidkv,0.37309558044362295
512,attention_l2,random,0.13778689612441372
512,attention_l2,recency,0.3255962406281181
512,attention_l2,sink_recent,0.33239854506696076
512,attention_l2,snapkv,0.35979293586076894
512,compactor,attention,0.23094519950161876
512,compactor,attention_l1,0.21425490754083124
512,compactor,attention_l2,0.21085628213112798
512,compactor,compactor,1.0
512,compactor,l1_leverage,0.18429365054146618
512,compactor,l1_prefill_only,0.15073435109388772
512,compactor,l2_key_prefill_only,0.15595888361377896
512,compactor,l2_leverage,0.19879130299342468
512,compactor,l2_prefill_only,0.15246436044468706
512,compactor,pyramidkv,0.16257837059997454
512,compactor,random,0.08931178713359599
512,compactor,recency,0.13975830921269208
512,compactor,sink_recent,0.14273936117516517
512,compactor,snapkv,0.16445050237567096
512,l1_leverage,attention,0.3976231867539372
512,l1_leverage,attention_l1,0.6826640400961187
512,l1_leverage,attention_l2,0.5965744710003985
512,l1_leverage,compactor,0.18429365054146618
512,l1_leverage,l1_leverage,1.0
512,l1_leverage,l1_prefill_only,0.7968892709691539
512,l1_leverage,l2_key_prefill_only,0.5196896163726362
512,l1_leverage,l2_leverage,0.6565007371651238
512,l1_leverage,l2_prefill_only,0.6593444697093498
512,l1_leverage,pyramidkv,0.26803745818603514
512,l1_leverage,random,0.13437509510135986
512,l1_leverage,recency,0.18938590943505562
512,l1_leverage,sink_recent,0.19486551232219732
512,l1_leverage,snapkv,0.253866140253088
512,l1_prefill_only,attention,0.30706551354446043
512,l1_prefill_only,attention_l1,0.5422287173388208
512,l1_prefill_only,attention_l2,0.4801208640223767
512,l1_prefill_only,compactor,0.15073435109388772
512,l1_prefill_only,l1_leverage,0.7968892709691539
512,l1_prefill_only,l1_prefill_only,1.0
512,l1_prefill_only,l2_key_prefill_only,0.5696058134731873
512,l1_prefill_only,l2_leverage,0.5607184585393021
512,l1_prefill_only,l2_prefill_only,0.7347934133925822
512,l1_prefill_only,pyramidkv,0.21068970280673605
512,l1_prefill_only,random,0.07779002926871888
512,l1_prefill_only,recency,0.1159275869444168
512,l1_prefill_only,sink_recent,0.12074195792772373
512,l1_prefill_only,snapkv,0.20751244000915556
512,l2_key_prefill_only,attention,0.34423547747989297
512,l2_key_prefill_only,attention_l1,0.48555155381810794
512,l2_key_prefill_only,attention_l2,0.49224676263426465
512,l2_key_prefill_only,compactor,0.15595888361377896
512,l2_key_prefill_only,l1_leverage,0.5196896163726362
512,l2_key_prefill_only,l1_prefill_only,0.5696058134731873
512,l2_key_prefill_only,l2_key_prefill_only,1.0
512,l2_key_prefill_only,l2_leverage,0.5138085105474037
512,l2_key_prefill_only,l2_prefill_only,0.6244055970240527
512,l2_key_prefill_only,pyramidkv,0.23356553801881072
512,l2_key_prefill_only,random,0.07730589644008853
512,l2_key_prefill_only,recency,0.1571726415003292
512,l2_key_prefill_only,sink_recent,0.1622490484374317
512,l2_key_prefill_only,snapkv,0.24049998147710672
512,l2_leverage,attention,0.4475883986602861
512,l2_leverage,attention_l1,0.6457817291706328
512,l2_leverage,attention_l2,0.687846297889582
512,l2_leverage,compactor,0.19879130299342468
512,l2_leverage,l1_leverage,0.6565007371651238
512,l2_leverage,l1_prefill_only,0.5607184585393021
512,l2_leverage,l2_key_prefill_only,0.5138085105474037
512,l2_leverage,l2_leverage,1.0
512,l2_leverage,l2_prefill_only,0.671355549455961
512,l2_leverage,pyramidkv,0.3032138906290003
512,l2_leverage,random,0.1344520195037941
512,l2_leverage,recency,0.2251084424430567
512,l2_leverage,sink_recent,0.23095202910034043
512,l2_leverage,snapkv,0.28660622820172443
512,l2_prefill_only,attention,0.3226961643389575
512,l2_prefill_only,attention_l1,0.5344549697068922
512,l2_prefill_only,attention_l2,0.5283010691250244
512,l2_prefill_only,compactor,0.15246436044468706
512,l2_prefill_only,l1_leverage,0.6593444697093498
512,l2_prefill_only,l1_prefill_only,0.7347934133925822
512,l2_prefill_only,l2_key_prefill_only,0.6244055970240527
512,l2_prefill_only,l2_leverage,0.671355549455961
512,l2_prefill_only,l2_prefill_only,1.0
512,l2_prefill_only,pyramidkv,0.2230835161761654
512,l2_prefill_only,random,0.0774515122173039
512,l2_prefill_only,recency,0.11861427893163012
512,l2_prefill_only,sink_recent,0.12346566746968334
512,l2_prefill_only,snapkv,0.2197120676021718
512,pyramidkv,attention,0.41692967772976697
512,pyramidkv,attention_l1,0.35548041640928285
512,pyramidkv,attention_l2,0.37309558044362295
512,pyramidkv,compactor,0.16257837059997454
512,pyramidkv,l1_leverage,0.26803745818603514
512,pyramidkv,l1_prefill_only,0.21068970280673605
512,pyramidkv,l2_key_prefill_only,0.23356553801881072
512,pyramidkv,l2_leverage,0.3032138906290003
512,pyramidkv,l2_prefill_only,0.2230835161761654
512,pyramidkv,pyramidkv,1.0
512,pyramidkv,random,0.1054280093974809
512,pyramidkv,recency,0.34183912584643833
512,pyramidkv,sink_recent,0.3456779385078227
512,pyramidkv,snapkv,0.6506076812509924
512,random,attention,0.1374857928458808
512,random,attention_l1,0.13781505022397797
512,random,attention_l2,0.13778689612441372
512,random,compactor,0.08931178713359599
512,random,l1_leverage,0.13437509510135986
512,random,l1_prefill_only,0.07779002926871888
512,random,l2_key_prefill_only,0.07730589644008853
512,random,l2_leverage,0.1344520195037941
512,random,l2_prefill_only,0.0774515122173039
512,random,pyramidkv,0.1054280093974809
512,random,random,1.0
512,random,recency,0.13734323328163464
512,random,sink_recent,0.1374406955965924
512,random,snapkv,0.09579681308882067
512,recency,attention,0.4091183705375437
512,recency,attention_l1,0.3029699736530032
512,recency,attention_l2,0.3255962406281181
512,recency,compactor,0.13975830921269208
512,recency,l1_leverage,0.18938590943505562
512,recency,l1_prefill_only,0.1159275869444168
512,recency,l2_key_prefill_only,0.1571726415003292
512,recency,l2_leverage,0.2251084424430567
512,recency,l2_prefill_only,0.11861427893163012
512,recency,pyramidkv,0.34183912584643833
512,recency,random,0.13734323328163464
512,recency,recency,1.0
512,recency,sink_recent,0.984496124031011
512,recency,snapkv,0.3727803628390514
512,sink_recent,attention,0.41661579245347036
512,sink_recent,attention_l1,0.3095164478310729
512,sink_recent,attention_l2,0.33239854506696076
512,sink_recent,compactor,0.14273936117516517
512,sink_recent,l1_leverage,0.19486551232219732
512,sink_recent,l1_prefill_only,0.12074195792772373
512,sink_recent,l2_key_prefill_only,0.1622490484374317
512,sink_recent,l2_leverage,0.23095202910034043
512,sink_recent,l2_prefill_only,0.12346566746968334
512,sink_recent,pyramidkv,0.3456779385078227
512,sink_recent,random,0.1374406955965924
512,sink_recent,recency,0.984496124031011
512,sink_recent,sink_recent,1.0
512,sink_recent,snapkv,0.37640130983239695
512,snapkv,attention,0.4167156581108722
512,snapkv,attention_l1,0.3390253638146899
512,snapkv,attention_l2,0.35979293586076894
512,snapkv,compactor,0.16445050237567096
512,snapkv,l1_leverage,0.253866140253088
512,snapkv,l1_prefill_only,0.20751244000915556
512,snapkv,l2_key_prefill_only,0.24049998147710672
512,snapkv,l2_leverage,0.28660622820172443
512,snapkv,l2_prefill_only,0.2197120676021718
512,snapkv,pyramidkv,0.6506076812509924
512,snapkv,random,0.09579681308882067
512,snapkv,recency,0.3727803628390514
512,snapkv,sink_recent,0.37640130983239695
512,snapkv,snapkv,1.0
